Event ID,Event Name,Year,Category,Country,Source Confidence
E100,Language Breakthrough,1636,Science,Country D,0.89
E101,Rich Breakthrough,2024,Culture,Country E,0.83
E102,Member Crisis,2014,War,Country A,0.59
E103,Radio Breakthrough,2024,Science,Country A,0.42
E104,Guest Crisis,1793,War,Country A,0.54
E105,In Reform,2024,Culture,Country B,0.82
E106,Study Crisis,1666,Politics,Country D,0.93
E107,Whole Reform,1651,Culture,Country D,0.98
E108,Behavior Crisis,1653,Politics,Country D,0.92
E109,We Reform,1937,Culture,Country E,0.93
E110,Difference Breakthrough,1846,Science,Country E,0.4
E111,Set Agreement,1989,Politics,Country C,0.87
E112,Natural Reform,1670,Culture,Country A,0.94
E113,Wield Breakthrough,1923,Science,Country B,0.99
E114,Work Discovery,1673,Science,Country A,0.58
E115,Good Revolution,1682,Technology,Country C,0.8
E116,Station Breakthrough,1847,Science,Country A,0.49
E117,Situation Crisis,1817,Technology,Country B,0.89
E118,Sorior Agreement,1879,Technology,Country A,0.94
E119,Participant Reform,1993,Culture,Country E,0.86
E120,Identify Revolution,1730,War,Country D,0.95
E121,Tsy Breakthrough,1939,Science,Country A,0.9
E122,Agreement,1632,Politics,Country D,0.92
E123,Coemot Crisis,1664,War,Country B,0.48
E124,Price Discovery,1661,Culture,Country E,0.88
E125,Message Agreement,1757,Technology,Country D,0.91
E126,Guy Discovery,2024,Culture,Country E,0.88
E127,Community Crisis,1697,War,Country B,0.95
E128,Historical Revolution,1975,War,Country B,0.54
E129,Various Revolution,1888,Culture,Country E,0.81
E130,Behind Crisis,1785,Culture,Country E,0.93
E131,sncrease Crisis,1685,War,Country B,0.66
E132,Believe Revolution,1925,Economy,Country B,0.84
E133,Aek Reform,1681,Culture,Country E,0.88
E134,Economic Revolution,1742,Science,Country A,1.0
E135,Project Crisis,2024,War,Country B,0.89
E136,Morning Revolution,1969,War,Country B,0.81
E137,Them Reform,1884,Economy,Country C,0.84
E138,Measure Reform,1913,Culture,Country A,0.81
E139,Possible Breakthrough,1671,Science,Country D,0.63
E140,Consumer Revolution,1800,Politics,Country D,0.87
E141,Society Revolution,1727,War,Country A,0.84
E142,Partner Agreement,1671,Technology,Country A,0.94
E143,Full Crisis,1901,Economy,Country B,0.49
E144,Some Revolution,1944,War,Country B,0.61
E145,Everything Discovery,1866,War,Country E,0.82
E146,Natural Reform,1906,Technology,Country B,0.99
E147,Possible Agreement,2010,Science,Country A,0.74
E148,BilloBrrokthrough,1846,Science,Country C,0.54
E149,Start Discovery,1795,Science,Country A,0.92
E150,Car Breakthrough,1899,Science,Country D,0.5
E151,Againsteeevolution,1846,Science,Country A,0.43
E152,Project Crisis,2024,Culture,Country C,0.85
